,duration,start_timestamp,eye,end_timestamp
1,110,13698542,L,13698651
2,13,13717120,L,13717132
3,129,13731138,L,13731266
4,85,13769752,L,13769836
5,92,13770139,L,13770230
6,131,13809290,L,13809420
7,119,13809690,L,13809808
8,122,13810220,L,13810341
9,118,13810697,L,13810814
10,109,13874560,L,13874668
11,52,13881623,L,13881674
12,119,13932786,L,13932904
13,110,13954157,L,13954266
14,131,13954667,L,13954797
15,104,13972630,L,13972733
16,61,14030829,L,14030889
17,75,14053590,L,14053664
18,42,14054034,L,14054075
19,96,14074239,L,14074334
20,100,14109200,L,14109299
21,149,14110517,L,14110665
22,313,14110840,L,14111152
23,65,14128936,L,14129000
24,150,14203320,L,14203469
25,124,14232838,L,14232961
26,91,14234758,L,14234848
27,99,14235507,L,14235605
28,44,14256904,L,14256947
29,91,14311041,L,14311131
30,192,14316415,L,14316606
31,405,14316886,L,14317290
32,2,14317475,L,14317476
33,64,14318477,L,14318540
34,27,14320930,L,14320956
35,110,14321208,L,14321317
36,46,14323705,L,14323750
37,88,14324042,L,14324129
38,136,14325572,L,14325707
39,189,14332834,L,14333022
40,88,14346881,L,14346968
41,156,14347177,L,14347332
42,174,14347628,L,14347801
43,140,14348383,L,14348522
44,195,14389996,L,14390190
45,728,14396378,L,14397105
46,141,14399256,L,14399396
47,167,14404979,L,14405145
48,101,14409446,L,14409546
49,146,14411491,L,14411636
50,124,14416097,L,14416220
51,92,14424470,L,14424561
52,149,14435487,L,14435635
53,123,14436029,L,14436151
54,120,14437178,L,14437297
55,82,14438430,L,14438511
56,151,14456745,L,14456895
57,91,14487232,L,14487322
58,126,14501852,L,14501977
59,184,14521829,L,14522012
60,174,14542846,L,14543019
61,9,14544255,L,14544263
62,140,14558423,L,14558562
63,149,14559262,L,14559410
64,150,14575169,L,14575318
65,153,14582830,L,14582982
66,114,14584616,L,14584729
67,201,14589462,L,14589662
68,133,14589962,L,14590094
69,153,14590524,L,14590676
70,136,14590946,L,14591081
71,164,14611567,L,14611730
72,178,14624304,L,14624481
73,202,14625167,L,14625368
74,148,14625935,L,14626082
75,118,14634970,L,14635087
76,77,14645828,L,14645904
77,141,14646997,L,14647137
78,144,14655938,L,14656081
79,153,14671026,L,14671178
80,126,14671685,L,14671810
81,80,14674628,L,14674707
82,113,14688859,L,14688971
83,66,14689229,L,14689294
84,160,14690189,L,14690348
85,108,14697742,L,14697849
86,126,14724260,L,14724385
87,122,14728910,L,14729031
88,136,14738279,L,14738414
89,134,14740945,L,14741078
90,117,14747945,L,14748061
91,88,14754303,L,14754390
92,104,14904032,L,14904135
93,113,14907136,L,14907248
94,114,14907654,L,14907767
95,115,14908597,L,14908711
96,156,14920701,L,14920856
97,114,14929524,L,14929637
98,220,14940589,L,14940808
99,135,14962932,L,14963066
100,151,14976695,L,14976845
101,145,14988955,L,14989099
102,139,14989621,L,14989759
103,22,14993853,L,14993874
104,129,15003597,L,15003725
105,181,15004022,L,15004202
106,46,15021640,L,15021685
107,135,15045459,L,15045593
108,205,15045910,L,15046114
109,358,15058449,L,15058806
110,148,15058974,L,15059121
111,151,15079838,L,15079988
112,96,15087950,L,15088045
113,114,15088278,L,15088391
114,161,15093709,L,15093869
115,161,15094104,L,15094264
116,97,15094579,L,15094675
117,130,15095033,L,15095162
118,103,15095936,L,15096038
119,60,15097482,L,15097541
120,196,15128317,L,15128512
121,33,15138220,L,15138252
122,162,15148244,L,15148405
123,84,15153090,L,15153173
124,151,15176741,L,15176891
125,65,15178009,L,15178073
126,168,15183318,L,15183485
127,162,15183922,L,15184083
128,312,15184368,L,15184679
129,199,15184863,L,15185061
130,327,15189427,L,15189753
131,880,15189973,L,15190852
132,146,15198200,L,15198345
133,156,15217751,L,15217906
134,166,15218207,L,15218372
135,103,15225221,L,15225323
136,112,15225598,L,15225709
137,143,15225934,L,15226076
138,135,15242453,L,15242587
139,137,15290507,L,15290643
140,137,15291068,L,15291204
141,121,15294466,L,15294586
142,113,15320114,L,15320226
143,129,15334017,L,15334145
144,127,15334546,L,15334672
145,233,15340538,L,15340770
146,175,15341653,L,15341827
147,116,15349956,L,15350071
148,152,15373137,L,15373288
149,177,15374232,L,15374408
150,88,15376357,L,15376444
151,113,15376850,L,15376962
152,94,15381175,L,15381268
153,192,15381516,L,15381707
154,174,15381981,L,15382154
155,166,15416016,L,15416181
156,104,15417614,L,15417717
157,149,15418021,L,15418169
158,146,15443893,L,15444038
159,155,15444470,L,15444624
160,494,15444830,L,15445323
161,169,15470664,L,15470832
162,125,15471569,L,15471693
163,95,15485277,L,15485371
164,128,15485885,L,15486012
165,150,15518376,L,15518525
166,172,15519382,L,15519553
167,163,15519826,L,15519988
168,101,15521690,L,15521790
169,86,15522256,L,15522341
170,106,15524939,L,15525044
171,140,15525569,L,15525708
172,198,15532930,L,15533127
173,142,15533340,L,15533481
174,120,15533784,L,15533903
175,90,15534805,L,15534894
176,105,15546444,L,15546548
177,158,15547029,L,15547186
178,178,15553214,L,15553391
179,107,15556114,L,15556220
180,155,15559713,L,15559867
181,162,15567703,L,15567864
182,100,15582072,L,15582171
183,168,15587258,L,15587425
184,109,15607004,L,15607112
185,167,15608355,L,15608521
186,132,15614790,L,15614921
187,193,15615290,L,15615482
188,194,15628045,L,15628238
189,150,15637003,L,15637152
190,82,15638729,L,15638810
191,157,15649588,L,15649744
192,134,15653601,L,15653734
193,179,15657987,L,15658165
194,108,15672088,L,15672195
195,186,15683985,L,15684170
196,153,15712972,L,15713124
197,200,15732259,L,15732458
198,148,15732946,L,15733093
199,177,15752318,L,15752494
200,113,15754124,L,15754236
201,170,15766304,L,15766473
202,120,15767638,L,15767757
203,129,15789274,L,15789402
204,143,15789920,L,15790062
205,162,15801155,L,15801316
206,154,15801619,L,15801772
207,86,15803797,L,15803882
208,108,15805723,L,15805830
209,156,15809139,L,15809294
210,149,15843288,L,15843436
211,132,15843693,L,15843824
212,129,15859875,L,15860003
213,124,15872146,L,15872269
214,191,15884247,L,15884437
215,201,15884728,L,15884928
216,137,15899318,L,15899454
217,125,15899744,L,15899868
218,150,15900392,L,15900541
219,177,15920223,L,15920399
220,143,15946010,L,15946152
221,168,15946445,L,15946612
222,247,15953418,L,15953664
223,132,15954408,L,15954539
224,104,15956053,L,15956156
225,208,15973875,L,15974082
226,111,15984701,L,15984811
227,138,16002443,L,16002580
228,65,16008366,L,16008430
229,206,16043080,L,16043285
230,144,16046136,L,16046279
231,131,16056422,L,16056552
232,130,16057325,L,16057454
233,121,16079483,L,16079603
234,122,16080900,L,16081021
235,57,16081427,L,16081483
236,160,16099297,L,16099456
237,146,16099809,L,16099954
238,1310,16106267,L,16107576
239,29,16108093,L,16108121
240,134,16108440,L,16108573
241,145,16116294,L,16116438
242,190,16129081,L,16129270
243,148,16150238,L,16150385
244,160,16151066,L,16151225
245,136,16164619,L,16164754
246,123,16178826,L,16178948
247,185,16198988,L,16199172
248,186,16204247,L,16204432
249,144,16207911,L,16208054
250,109,16213699,L,16213807
251,166,16218393,L,16218558
252,159,16219075,L,16219233
253,166,16227578,L,16227743
254,132,16232396,L,16232527
255,114,16233625,L,16233738
256,160,16234109,L,16234268
257,185,16245434,L,16245618
258,173,16245806,L,16245978
259,43,16249004,L,16249046
260,110,16249294,L,16249403
261,128,16257607,L,16257734
262,171,16267706,L,16267876
263,163,16268111,L,16268273
264,172,16268610,L,16268781
265,166,16269361,L,16269526
266,91,16280735,L,16280825
267,168,16281078,L,16281245
268,131,16281779,L,16281909
269,131,16283002,L,16283132
