"","V1","V2","V3","V4"
"1",153,15712972,1,15713124
"2",200,15732259,1,15732458
"3",148,15732946,1,15733093
"4",177,15752318,1,15752494
"5",113,15754124,1,15754236
"6",170,15766304,1,15766473
"7",120,15767638,1,15767757
"8",129,15789274,1,15789402
"9",143,15789920,1,15790062
"10",162,15801155,1,15801316
"11",154,15801619,1,15801772
"12",86,15803797,1,15803882
"13",108,15805723,1,15805830
"14",156,15809139,1,15809294
"15",149,15843288,1,15843436
"16",132,15843693,1,15843824
"17",129,15859875,1,15860003
"18",124,15872146,1,15872269
"19",191,15884247,1,15884437
"20",201,15884728,1,15884928
"21",137,15899318,1,15899454
"22",125,15899744,1,15899868
"23",150,15900392,1,15900541
"24",177,15920223,1,15920399
"25",143,15946010,1,15946152
"26",168,15946445,1,15946612
"27",247,15953418,1,15953664
"28",132,15954408,1,15954539
"29",104,15956053,1,15956156
"30",208,15973875,1,15974082
"31",111,15984701,1,15984811
"32",138,16002443,1,16002580
"33",65,16008366,1,16008430
"34",206,16043080,1,16043285
"35",144,16046136,1,16046279
"36",131,16056422,1,16056552
"37",130,16057325,1,16057454
"38",121,16079483,1,16079603
"39",122,16080900,1,16081021
"40",57,16081427,1,16081483
"41",160,16099297,1,16099456
"42",146,16099809,1,16099954
"43",1310,16106267,1,16107576
"44",29,16108093,1,16108121
"45",134,16108440,1,16108573
"46",145,16116294,1,16116438
"47",190,16129081,1,16129270
"48",148,16150238,1,16150385
"49",160,16151066,1,16151225
"50",136,16164619,1,16164754
"51",123,16178826,1,16178948
"52",185,16198988,1,16199172
"53",186,16204247,1,16204432
"54",144,16207911,1,16208054
"55",109,16213699,1,16213807
"56",166,16218393,1,16218558
"57",159,16219075,1,16219233
"58",166,16227578,1,16227743
"59",132,16232396,1,16232527
"60",114,16233625,1,16233738
"61",160,16234109,1,16234268
"62",185,16245434,1,16245618
"63",173,16245806,1,16245978
"64",43,16249004,1,16249046
"65",110,16249294,1,16249403
"66",128,16257607,1,16257734
"67",171,16267706,1,16267876
"68",163,16268111,1,16268273
"69",172,16268610,1,16268781
"70",166,16269361,1,16269526
"71",91,16280735,1,16280825
"72",168,16281078,1,16281245
"73",131,16281779,1,16281909
"74",131,16283002,1,16283132
