"","Sbj1_fixation_timepoints","Sbj_fix_durations","Sbj1_stimuli_timepoints","Sbj1_durations","Sbj1_choice_timepoints","Sbj1_choice_durations","Sbj1_record_timepoints"
"1",14903703,1561,14905264,1533,14906797,3685,14910482
"2",14910988,1126,14912114,1467,14913581,3751,14917332
"3",14917834,1130,14918964,1117,14920081,4101,14924182
"4",14924690,1124,14925814,1217,14927031,4001,14931032
"5",14931557,1124,14932681,1300,14933981,3918,14937899
"6",14938412,1135,14939547,784,14940331,4434,14944765
"7",14945281,1133,14946414,2584,14948998,2634,14951632
"8",14952121,1127,14953248,1117,14954365,4100,14958465
"9",14958976,1122,14960098,1250,14961348,3968,14965316
"10",14965809,1122,14966931,934,14967865,4284,14972149
"11",14972639,1126,14973765,1966,14975731,3252,14978983
"12",14979488,1127,14980615,767,14981382,4451,14985833
"13",14986338,1127,14987465,767,14988232,4451,14992683
"14",14993205,1810,14995015,1267,14996282,3951,15000233
"15",15000721,1127,15001848,1417,15003265,3801,15007066
"16",15007570,1128,15008698,1567,15010265,3651,15013916
"17",15014443,1122,15015565,1100,15016665,4118,15020783
"18",15021296,1536,15022832,833,15023665,4385,15028050
"19",15028576,1106,15029682,1117,15030799,4101,15034900
"20",15035408,1124,15036532,1034,15037566,4184,15041750
"21",15042250,1132,15043382,2134,15045516,3084,15048600
"22",15049129,1137,15050266,1117,15051383,4101,15055484
"23",15055988,1128,15057116,1100,15058216,4118,15062334
"24",15062822,1127,15063949,1201,15065150,4017,15069167
"25",15069660,1123,15070783,950,15071733,4268,15076001
"26",15076533,1133,15077666,1184,15078850,4034,15082884
"27",15083390,1126,15084516,850,15085366,4368,15089734
"28",15090262,1138,15091400,1000,15092400,4218,15096618
"29",15097131,1536,15098667,1366,15100033,3852,15103885
"30",15104401,1132,15105533,767,15106300,4451,15110751
"31",15111240,1127,15112367,1383,15113750,3835,15117585
"32",15118098,1135,15119233,834,15120067,4384,15124451
"33",15124957,1127,15126084,1566,15127650,3652,15131302
"34",15131812,1122,15132934,2150,15135084,3068,15138152
"35",15138652,1132,15139784,2050,15141834,3168,15145002
"36",15145537,1130,15146667,884,15147551,4334,15151885
"37",15152373,1911,15154284,1350,15155634,3868,15159502
"38",15160004,1130,15161134,1700,15162834,3518,15166352
"39",15166864,7537,15174401,1800,15176201,3418,15179619
"40",15180143,1125,15181268,1833,15183101,3385,15186486
"41",15187011,1124,15188135,1017,15189152,4200,15193352
"42",15193861,1124,15194985,1367,15196352,3851,15200203
"43",15200711,1124,15201835,1067,15202902,4151,15207053
"44",15207541,1127,15208668,2167,15210835,3051,15213886
"45",15214392,1126,15215518,967,15216485,4251,15220736
"46",15221250,1135,15222385,1117,15223502,4101,15227603
"47",15228119,1133,15229252,883,15230135,4335,15234470
"48",15234965,1137,15236102,2450,15238552,2768,15241320
"49",15241832,3120,15244952,1250,15246202,3968,15250170
"50",15250691,1345,15252036,733,15252769,4484,15257253
"51",15257806,1130,15258936,3400,15262336,1818,15264154
"52",15264683,1136,15265819,1600,15267419,3618,15271037
"53",15271543,1126,15272669,817,15273486,4401,15277887
"54",15278374,1129,15279503,900,15280403,4317,15284720
"55",15285231,1122,15286353,1217,15287570,4001,15291571
"56",15292060,1126,15293186,717,15293903,4501,15298404
"57",15298921,1132,15300053,2000,15302053,3218,15305271
"58",15305754,1133,15306887,1583,15308470,3634,15312104
"59",15312615,1122,15313737,2400,15316137,2817,15318954
"60",15319444,3559,15323003,1051,15324054,4167,15328221
"61",15328738,1132,15329870,984,15330854,4234,15335088
"62",15335601,1136,15336737,2717,15339454,2501,15341955
"63",15342478,1276,15343754,1600,15345354,3618,15348972
"64",15349478,1709,15351187,2817,15354004,2401,15356405
"65",15356943,1128,15358071,933,15359004,4285,15363289
"66",15363795,1126,15364921,1216,15366137,4002,15370139
"67",15370659,1129,15371788,1000,15372788,4217,15377005
"68",15377513,1125,15378638,1916,15380554,3301,15383855
"69",15384368,1136,15385504,934,15386438,4284,15390722
"70",15391219,1135,15392354,951,15393305,4267,15397572
"71",15398080,2191,15400271,2367,15402638,2851,15405489
"72",15406017,1121,15407138,1283,15408421,3935,15412356
"73",15412877,1311,15414188,1500,15415688,3718,15419406
"74",15419929,1126,15421055,1633,15422688,3585,15426273
"75",15426768,1137,15427905,1400,15429305,3818,15433123
"76",15433648,1124,15434772,900,15435672,4318,15439990
"77",15440512,1127,15441639,1683,15443322,3535,15446857
"78",15447372,1133,15448505,1134,15449639,4084,15453723
"79",15454215,1124,15455339,1200,15456539,4018,15460557
"80",15461068,1138,15462206,1100,15463306,4117,15467423
"81",15467927,1129,15469056,1117,15470173,4101,15474274
"82",15474792,1130,15475922,2301,15478223,2917,15481140
"83",15481667,1122,15482789,1550,15484339,3668,15488007
"84",15488517,1122,15489639,967,15490606,4251,15494857
"85",15495368,1121,15496489,951,15497440,4267,15501707
"86",15502220,1136,15503356,1634,15504990,3584,15508574
"87",15509052,1121,15510173,2167,15512340,3051,15515391
"88",15515894,1129,15517023,1150,15518173,4068,15522241
"89",15522728,1128,15523856,1151,15525007,4067,15529074
"90",15529577,1130,15530707,2100,15532807,3118,15535925
"91",15536419,1138,15537557,1117,15538674,4101,15542775
"92",15543282,1125,15544407,967,15545374,4251,15549625
"93",15550128,1129,15551257,1050,15552307,4168,15556475
"94",15556980,1127,15558107,950,15559057,4268,15563325
"95",15563843,1131,15564974,1433,15566407,3785,15570192
"96",15570711,1130,15571841,1216,15573057,4001,15577058
"97",15577585,1122,15578707,2434,15581141,2784,15583925
"98",15584411,1130,15585541,1417,15586958,3801,15590759
"99",15591249,1125,15592374,1500,15593874,3718,15597592
"100",15598098,1110,15599208,1650,15600858,3568,15604426
"101",15604936,1122,15606058,1500,15607558,3718,15611276
"102",15611787,1121,15612908,1917,15614825,3301,15618126
"103",15618640,1135,15619775,1533,15621308,3685,15624993
"104",15625490,1135,15626625,950,15627575,4268,15631843
"105",15632355,1137,15633492,2433,15635925,2784,15638709
"106",15639231,1127,15640358,1967,15642325,3251,15645576
"107",15646062,1130,15647192,1333,15648525,3885,15652410
"108",15652922,1920,15654842,933,15655775,4285,15660060
"109",15660559,1133,15661692,1233,15662925,3985,15666910
"110",15667409,1133,15668542,1134,15669676,4084,15673760
"111",15674286,1123,15675409,717,15676126,4501,15680627
"112",15681134,1125,15682259,933,15683192,4285,15687477
"113",15687993,1133,15689126,800,15689926,4418,15694344
"114",15694891,1168,15696059,817,15696876,4401,15701277
"115",15701775,1134,15702909,1451,15704360,3767,15708127
"116",15708620,1123,15709743,917,15710660,4301,15714961
"117",15715479,1414,15716893,1167,15718060,4051,15722111
"118",15722610,1300,15723910,1116,15725026,4101,15729127
"119",15729644,1132,15730776,834,15731610,4384,15735994
"120",15736484,1126,15737610,767,15738377,4451,15742828
"121",15743328,1132,15744460,1700,15746160,3518,15749678
"122",15750173,1137,15751310,683,15751993,4535,15756528
"123",15757033,1127,15758160,734,15758894,4484,15763378
"124",15763894,1133,15765027,783,15765810,4435,15770245
"125",15770757,1137,15771894,2617,15774511,2601,15777112
"126",15777618,1409,15779027,1467,15780494,3751,15784245
"127",15784768,1126,15785894,2700,15788594,2518,15791112
"128",15791632,1129,15792761,750,15793511,4468,15797979
"129",15798505,1122,15799627,1134,15800761,4084,15804845
"130",15805358,1603,15806961,1683,15808644,3535,15812179
"131",15812717,1127,15813844,1400,15815244,3818,15819062
"132",15819553,1291,15820844,2751,15823595,2467,15826062
"133",15826588,1123,15827711,1167,15828878,4051,15832929
"134",15833453,1125,15834578,1117,15835695,4101,15839796
"135",15840328,1133,15841461,1234,15842695,3984,15846679
"136",15847186,1125,15848311,1017,15849328,4202,15853530
"137",15854031,1381,15855412,1000,15856412,4218,15860630
"138",15861150,1128,15862278,1384,15863662,3834,15867496
"139",15868021,1124,15869145,734,15869879,4484,15874363
"140",15874875,1137,15876012,1600,15877612,3618,15881230
"141",15881728,1134,15882862,984,15883846,4234,15888080
"142",15888588,1124,15889712,2134,15891846,3084,15894930
"143",15895434,1128,15896562,884,15897446,4334,15901780
"144",15902298,1131,15903429,1550,15904979,3668,15908647
"145",15909136,1126,15910262,1151,15911413,4067,15915480
"146",15915991,1122,15917113,2833,15919946,2384,15922330
"147",15922843,1136,15923979,850,15924829,4368,15929197
"148",15929712,1134,15930846,1350,15932196,3868,15936064
"149",15936578,1135,15937713,1033,15938746,4185,15942931
"150",15943436,1127,15944563,1467,15946030,3751,15949781
"151",15950293,1137,15951430,1700,15953130,3518,15956648
"152",15957151,1129,15958280,1317,15959597,3901,15963498
"153",15964021,1126,15965147,1550,15966697,3668,15970365
"154",15970877,1136,15972013,1601,15973614,3617,15977231
"155",15977721,1126,15978847,783,15979630,4435,15984065
"156",15984569,1378,15985947,2184,15988131,3034,15991165
"157",15991687,1127,15992814,2117,15994931,3101,15998032
"158",15998553,1128,15999681,1216,16000897,4001,16004898
"159",16005411,1136,16006547,1017,16007564,4201,16011765
"160",16012295,1136,16013431,1133,16014564,4085,16018649
"161",16019165,1133,16020298,1216,16021514,4002,16025516
"162",16026033,1131,16027164,701,16027865,4517,16032382
"163",16032906,1125,16034031,1917,16035948,3301,16039249
"164",16039747,1301,16041048,1050,16042098,4168,16046266
"165",16046791,1107,16047898,700,16048598,4518,16053116
"166",16053630,1135,16054765,1583,16056348,3635,16059983
"167",16060495,1136,16061631,734,16062365,4484,16066849
"168",16067367,1615,16068982,2300,16071282,2918,16074200
"169",16074706,1459,16076165,2284,16078449,2934,16081383
"170",16081905,1210,16083115,2450,16085565,2768,16088333
"171",16088848,1134,16089982,783,16090765,4435,16095200
"172",16095721,1128,16096849,700,16097549,4518,16102067
"173",16102592,1290,16103882,1017,16104899,4201,16109100
"174",16109605,3394,16112999,1100,16114099,4118,16118217
"175",16118732,1134,16119866,1150,16121016,4068,16125084
"176",16125603,1129,16126732,984,16127716,4234,16131950
"177",16132459,1124,16133583,1850,16135433,3368,16138801
"178",16139315,1134,16140449,1917,16142366,3301,16145667
"179",16146173,1127,16147300,733,16148033,4484,16152517
"180",16153010,1123,16154133,883,16155016,4335,16159351
"181",16159868,1132,16161000,1183,16162183,4035,16166218
"182",16166740,1127,16167867,1150,16169017,4067,16173084
"183",16173592,1125,16174717,1500,16176217,3718,16179935
"184",16180437,1130,16181567,1100,16182667,4118,16186785
"185",16187311,1772,16189083,1267,16190350,3951,16194301
"186",16194810,1490,16196300,2401,16198701,2817,16201518
"187",16202035,1132,16203167,817,16203984,4401,16208385
"188",16208911,1123,16210034,1250,16211284,3968,16215252
"189",16215736,1131,16216867,1050,16217917,4168,16222085
"190",16222606,1128,16223734,2450,16226184,2768,16228952
"191",16229470,1131,16230601,1067,16231668,4151,16235819
"192",16236333,1135,16237468,1100,16238568,4118,16242686
"193",16243195,1123,16244318,816,16245134,4402,16249536
"194",16250040,1328,16251368,1217,16252585,4001,16256586
"195",16257109,1742,16258851,2717,16261568,2501,16264069
"196",16264581,1137,16265718,1700,16267418,3518,16270936
"197",16271455,1130,16272585,850,16273435,4368,16277803
"198",16278330,1122,16279452,716,16280168,4502,16284670
"199",16285174,1128,16286302,1017,16287319,4201,16291520
"200",16292035,1133,16293168,951,16294119,4267,16298386
