"","Sbj1_fixation_timepoints","Sbj_fix_durations"
"1",14903703,1561
"2",14910988,1126
"3",14917834,1130
"4",14924690,1124
"5",14931557,1124
"6",14938412,1135
"7",14945281,1133
"8",14952121,1127
"9",14958976,1122
"10",14965809,1122
"11",14972639,1126
"12",14979488,1127
"13",14986338,1127
"14",14993205,1810
"15",15000721,1127
"16",15007570,1128
"17",15014443,1122
"18",15021296,1536
"19",15028576,1106
"20",15035408,1124
"21",15042250,1132
"22",15049129,1137
"23",15055988,1128
"24",15062822,1127
"25",15069660,1123
"26",15076533,1133
"27",15083390,1126
"28",15090262,1138
"29",15097131,1536
"30",15104401,1132
"31",15111240,1127
"32",15118098,1135
"33",15124957,1127
"34",15131812,1122
"35",15138652,1132
"36",15145537,1130
"37",15152373,1911
"38",15160004,1130
"39",15166864,7537
"40",15180143,1125
"41",15187011,1124
"42",15193861,1124
"43",15200711,1124
"44",15207541,1127
"45",15214392,1126
"46",15221250,1135
"47",15228119,1133
"48",15234965,1137
"49",15241832,3120
"50",15250691,1345
"51",15257806,1130
"52",15264683,1136
"53",15271543,1126
"54",15278374,1129
"55",15285231,1122
"56",15292060,1126
"57",15298921,1132
"58",15305754,1133
"59",15312615,1122
"60",15319444,3559
"61",15328738,1132
"62",15335601,1136
"63",15342478,1276
"64",15349478,1709
"65",15356943,1128
"66",15363795,1126
"67",15370659,1129
"68",15377513,1125
"69",15384368,1136
"70",15391219,1135
"71",15398080,2191
"72",15406017,1121
"73",15412877,1311
"74",15419929,1126
"75",15426768,1137
"76",15433648,1124
"77",15440512,1127
"78",15447372,1133
"79",15454215,1124
"80",15461068,1138
"81",15467927,1129
"82",15474792,1130
"83",15481667,1122
"84",15488517,1122
"85",15495368,1121
"86",15502220,1136
"87",15509052,1121
"88",15515894,1129
"89",15522728,1128
"90",15529577,1130
"91",15536419,1138
"92",15543282,1125
"93",15550128,1129
"94",15556980,1127
"95",15563843,1131
"96",15570711,1130
"97",15577585,1122
"98",15584411,1130
"99",15591249,1125
"100",15598098,1110
"101",15604936,1122
"102",15611787,1121
"103",15618640,1135
"104",15625490,1135
"105",15632355,1137
"106",15639231,1127
"107",15646062,1130
"108",15652922,1920
"109",15660559,1133
"110",15667409,1133
"111",15674286,1123
"112",15681134,1125
"113",15687993,1133
"114",15694891,1168
"115",15701775,1134
"116",15708620,1123
"117",15715479,1414
"118",15722610,1300
"119",15729644,1132
"120",15736484,1126
"121",15743328,1132
"122",15750173,1137
"123",15757033,1127
"124",15763894,1133
"125",15770757,1137
"126",15777618,1409
"127",15784768,1126
"128",15791632,1129
"129",15798505,1122
"130",15805358,1603
"131",15812717,1127
"132",15819553,1291
"133",15826588,1123
"134",15833453,1125
"135",15840328,1133
"136",15847186,1125
"137",15854031,1381
"138",15861150,1128
"139",15868021,1124
"140",15874875,1137
"141",15881728,1134
"142",15888588,1124
"143",15895434,1128
"144",15902298,1131
"145",15909136,1126
"146",15915991,1122
"147",15922843,1136
"148",15929712,1134
"149",15936578,1135
"150",15943436,1127
"151",15950293,1137
"152",15957151,1129
"153",15964021,1126
"154",15970877,1136
"155",15977721,1126
"156",15984569,1378
"157",15991687,1127
"158",15998553,1128
"159",16005411,1136
"160",16012295,1136
"161",16019165,1133
"162",16026033,1131
"163",16032906,1125
"164",16039747,1301
"165",16046791,1107
"166",16053630,1135
"167",16060495,1136
"168",16067367,1615
"169",16074706,1459
"170",16081905,1210
"171",16088848,1134
"172",16095721,1128
"173",16102592,1290
"174",16109605,3394
"175",16118732,1134
"176",16125603,1129
"177",16132459,1124
"178",16139315,1134
"179",16146173,1127
"180",16153010,1123
"181",16159868,1132
"182",16166740,1127
"183",16173592,1125
"184",16180437,1130
"185",16187311,1772
"186",16194810,1490
"187",16202035,1132
"188",16208911,1123
"189",16215736,1131
"190",16222606,1128
"191",16229470,1131
"192",16236333,1135
"193",16243195,1123
"194",16250040,1328
"195",16257109,1742
"196",16264581,1137
"197",16271455,1130
"198",16278330,1122
"199",16285174,1128
"200",16292035,1133
