"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",241,14903665,1003.7,1,826.9,421.4,30,3.92,496.5,14903694
"2",191,14903902,895.1,1,1008.8,499.7,25,2.37,524.2,14903926
"3",1606,14904016,904.3,1,905.7,539.4,148,0.63,508.8,14904163
"4",82,14904452,952.7,1,915.8,522,14,0.8,536,14904465
"5",93,14905071,929.5,1,948.4,543.3,20,0.44,533.3,14905090
"6",359,14905521,1426.4,1,933.8,526.6,46,9.9,542.8,14905566
"7",562,14905769,437,1,1413.7,546.3,59,19.37,481,14905827
"8",549,14906169,1407.1,1,467.4,492.4,59,18.68,458.5,14906227
"9",59,14906642,1383.1,1,1393.7,463.6,12,0.59,436.7,14906653
"10",1277,14907116,849,1,1387.3,440.5,160,10.86,433.9,14907275
"11",270,14907530,989.2,1,856.6,431.7,26,3.24,518,14907555
"12",1053,14907639,1036.1,1,998,523.2,154,0.79,515.5,14907792
"13",634,14908579,951.4,1,1032,512.4,155,1.65,505.4,14908733
"14",110,14909298,1005.8,1,961.5,506.2,21,0.93,517,14909318
"15",162,14909688,937.8,1,1003.7,518.2,31,1.35,513.7,14909718
"16",69,14910201,959.2,1,928.8,510.3,11,0.63,516.3,14910211
"17",101,14910546,915.2,1,950.5,520.7,36,0.73,515.4,14910581
"18",47,14910987,945.9,1,928.1,522.2,10,0.43,533,14910996
"19",57,14911225,936.3,1,949.1,517.3,17,0.32,526.4,14911241
"20",80,14912111,922.4,1,926.6,535.4,26,0.09,534.9,14912136
"21",107,14912349,909.1,1,920.8,537.3,33,0.77,501.8,14912381
"22",432,14912416,414,1,918.9,503.3,43,10.11,477.1,14912458
"23",100,14912672,446,1,431,489.3,16,1.01,537.2,14912687
"24",540,14912823,1477.2,1,448.1,531,63,20.32,479.3,14912885
"25",112,14913208,1419.6,1,1473.5,484.8,19,1.1,498.9,14913226
"26",205,14914134,1183.7,1,1401.4,499.7,37,4.38,487.7,14914170
"27",275,14914408,957.5,1,1184,487.3,32,4.62,506.2,14914439
"28",45,14915031,972,1,956.7,511.5,7,0.31,511,14915037
"29",43,14917137,968.3,1,948.6,525.6,15,0.47,537.3,14917151
"30",159,14917940,881.4,1,973.8,525,22,1.89,535.6,14917961
"31",124,14918105,953.2,1,889.4,538.4,20,1.3,543,14918124
"32",290,14919242,1356.2,1,932.7,532.5,47,8.57,501.1,14919288
"33",474,14919581,480.5,1,1351.6,509.9,60,17.34,496.1,14919640
"34",1084,14920671,904.4,1,495.9,498.4,212,8.22,516.8,14920882
"35",147,14921351,999.8,1,916.1,507.4,21,1.72,517.9,14921371
"36",49,14921888,979.4,1,991.2,508.4,16,0.37,521.9,14921903
"37",61,14922662,1032.7,1,979.2,529.6,22,1.09,524.6,14922683
"38",213,14923503,866.7,1,1023.9,519.6,30,3.2,514,14923532
"39",153,14924064,962.3,1,872.4,512.7,22,1.83,514.5,14924085
"40",141,14924873,904.8,1,964.4,506.6,23,1.31,531,14924895
"41",51,14925372,943.8,1,923.8,543.4,9,0.42,548.2,14925380
"42",240,14926000,1307.8,1,951,547.3,48,7.22,527.6,14926047
"43",206,14926189,1471.4,1,1307.5,527.7,29,3.28,511.5,14926217
"44",591,14926295,478.8,1,1472,511.1,62,19.63,493.8,14926356
"45",510,14926725,1505.3,1,507.4,501.3,63,19.72,502.9,14926787
"46",166,14927444,1375,1,1472.3,509.7,23,1.97,529,14927466
"47",91,14927785,1374.1,1,1357.7,533.9,17,1.14,587.4,14927801
"48",158,14928112,1454.8,1,1354.2,591.3,24,2.07,619.6,14928135
"49",400,14928314,948.9,1,1467.6,619.9,47,10.38,595.9,14928360
"50",1215,14929501,642.1,1,955.9,617.1,171,6.46,555.7,14929671
"51",314,14930000,1106.3,1,677.2,540.1,47,8.68,538.8,14930046
"52",173,14930485,1254.7,1,1098.6,539.1,39,3.5,613.8,14930523
"53",251,14930738,891.8,1,1243.3,616.8,48,7.13,586.5,14930785
"54",317,14930814,659.2,1,897,587.8,38,5.3,479.5,14930851
"55",114,14931732,909.8,1,946.3,510.1,22,0.95,538.6,14931753
"56",45,14931995,933.2,1,920.5,549.7,6,0.26,549.8,14932000
"57",318,14932893,562.1,1,935.3,549,47,7.65,484.6,14932939
"58",91,14933126,558,1,575.8,492.3,17,1.15,438.7,14933142
"59",502,14933404,1388.5,1,563.3,431.1,56,16.53,490.7,14933459
"60",117,14933729,1322.7,1,1380.9,489.8,18,1.18,499.1,14933746
"61",339,14934658,921.1,1,1312.5,504.8,44,7.92,499.5,14934701
"62",54,14936517,939.4,1,920.1,520.1,7,0.39,519.4,14936523
"63",147,14936873,847.6,1,933.3,514.6,22,1.74,517.9,14936894
"64",144,14937326,937.9,1,852.4,506.6,21,1.75,515.1,14937346
"65",45,14938308,932.6,1,919.9,516.5,9,0.27,520.8,14938316
"66",234,14939748,1218,1,931,531,41,5.83,516.8,14939788
"67",161,14939965,1313.9,1,1219.8,519.4,22,1.89,520.7,14939986
"68",531,14940077,450.7,1,1316.5,518,57,17.24,497.2,14940133
"69",868,14940560,1062.3,1,465.3,507.4,270,12,472,14940829
"70",169,14941952,1187,1,1040.6,459.5,35,3.02,434.7,14941986
"71",260,14942837,944.9,1,1165.6,429.3,41,4.53,457.5,14942877
"72",83,14943333,992.1,1,956.2,461.2,18,0.74,467.5,14943350
"73",48,14943906,983.5,1,967,491.3,7,0.35,495.1,14943912
"74",121,14944175,935.5,1,990.8,479.4,22,1.13,484.3,14944196
"75",134,14945463,904.6,1,958,494.2,21,1.39,536.3,14945483
"76",357,14946675,426.2,1,930.8,529.7,49,10.15,481.5,14946723
"77",495,14947021,1296.1,1,437.5,491.5,56,17.1,484,14947076
"78",219,14947306,1473.9,1,1294.1,484,27,3.58,480.4,14947332
"79",114,14947650,1437.2,1,1499.1,476.9,19,1.22,479.1,14947668
"80",517,14948202,404.9,1,1423.5,477.3,64,20.11,494.1,14948265
"81",212,14948613,583.5,1,438.2,503.9,24,2.91,485.8,14948636
"82",465,14948838,1385.7,1,635.7,478.8,54,15.03,511.8,14948891
"83",205,14949365,1562.1,1,1382.8,516.5,30,3.53,519.4,14949394
"84",314,14949939,1124.7,1,1533.5,527.8,49,8.14,532.7,14949987
"85",253,14951000,943.9,1,1119.5,522.6,25,3.59,507.6,14951024
"86",176,14951620,1071.7,1,914.7,494.7,35,3.21,505.6,14951654
"87",225,14952268,921.4,1,1067.3,513.5,25,2.99,531.3,14952292
"88",66,14952532,956.4,1,926,537.6,11,0.62,539.8,14952542
"89",64,14952898,944.9,1,953.5,540.6,20,0.27,530.5,14952917
"90",373,14953472,398,1,945.3,533.3,51,11,475.4,14953522
"91",544,14953780,1388.2,1,412,477.1,59,19.36,427.7,14953838
"92",201,14954061,1513.7,1,1395,423.3,23,2.38,404.7,14954083
"93",324,14954706,1091.7,1,1485.1,407.7,49,7.92,442.7,14954754
"94",174,14955007,994.9,1,1092.5,445.9,22,2.13,482.2,14955028
"95",120,14957371,1037.3,1,982.4,485.4,19,1.31,518.6,14957389
"96",50,14957674,1055.8,1,1042.9,507.5,15,0.6,533.5,14957688
"97",56,14958070,1085.1,1,1064.3,527.2,9,0.46,536,14958078
