"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",551,15703518,1425,1,467.8,498.6,69,18.97,501.9,15703586
"2",275,15703898,1318.1,1,1456,509.4,32,2.77,490.8,15703929
"3",581,15704131,437.2,1,1307.1,500.5,64,17.31,501.3,15704194
"4",245,15704835,1098.9,1,429.9,529.2,83,13.38,563.2,15704917
"5",182,15706525,955.1,1,1057,563.1,22,2.08,573.6,15706546
"6",131,15707537,915.2,1,958.2,575.4,28,0.99,552.3,15707564
"7",51,15707948,917,1,896.8,564.6,11,0.43,570,15707958
"8",147,15708708,866.4,1,937.8,569.4,22,1.45,565.7,15708729
"9",61,15708975,903,1,876.5,566.9,10,0.54,564.8,15708984
"10",412,15709911,496.5,1,917,558.3,50,8.46,529.4,15709960
"11",212,15710174,669.1,1,486.8,538.3,44,3.72,500.1,15710217
"12",454,15710263,1379.7,1,694.8,499.7,59,13.74,507.8,15710321
"13",335,15711023,922.4,1,1396.2,516.6,57,9.68,601.5,15711079
"14",175,15712301,454.7,1,902.2,622.8,93,9.44,780.2,15712393
"15",340,15712805,951.4,1,423,738,53,10.78,616.6,15712857
"16",267,15712952,1355.7,1,965.5,643.8,191,7.86,678.7,15713142
"17",434,15713551,693.5,1,1368.8,634.7,62,13.75,511.9,15713612
"18",158,15714513,685.2,1,713.3,520.8,31,0.57,518.2,15714543
"19",517,15715480,2101,1,674.4,537.7,87,27.12,817.8,15715566
"20",677,15715731,829.1,1,2094.2,820.7,88,24.17,565.8,15715818
"21",173,15716033,923.4,1,848.7,575.9,24,1.52,568.5,15716056
"22",130,15716369,896.7,1,920.2,559.3,30,0.83,526.5,15716398
"23",396,15717067,450.9,1,885.5,539.1,54,8.73,511.5,15717120
"24",489,15717415,1279.4,1,450,523.5,67,16.51,537.2,15717481
"25",331,15717723,1598.2,1,1304.8,537.2,41,5.78,536.4,15717763
"26",172,15718346,1497.2,1,1578.5,535.3,22,1.77,574.6,15718367
"27",367,15718723,981.2,1,1470.9,571,56,9.79,570.3,15718778
"28",225,15720164,836.2,1,959.8,577.6,24,2.51,577.2,15720187
"29",230,15722791,878.6,1,735.7,580.6,26,2.9,578.2,15722816
"30",124,15723592,868.5,1,894.1,558.5,29,0.81,528.5,15723620
"31",351,15724147,504.5,1,847.1,529.9,51,7,467.7,15724197
"32",492,15724435,1224,1,501.8,486.1,51,14.5,529.2,15724485
"33",318,15724747,1499.2,1,1247.2,537.6,30,5.03,557.2,15724776
"34",186,15725261,734,1,1519.3,557.8,137,15.61,552.9,15725397
"35",301,15725512,423,1,740.7,550.1,44,6.34,553.4,15725555
"36",293,15725818,132.5,1,454.7,544.9,44,6.3,605.6,15725861
"37",272,15726866,917.9,1,161.2,598.5,87,14.8,564.4,15726952
"38",212,15728424,830.1,1,968.4,580,24,2.81,571.4,15728447
"39",187,15728887,948.6,1,813.8,543.9,25,2.76,561.3,15728911
"40",248,15729587,835.4,1,986.6,551.3,27,3.1,533.3,15729613
"41",142,15729861,919.8,1,852,535.8,23,1.39,543.8,15729883
"42",88,15730160,883.9,1,906.7,554.5,21,0.52,543.1,15730180
"43",374,15730952,536.5,1,906.5,539.7,41,7.45,536.9,15730992
"44",94,15731217,518.2,1,559.8,547.3,21,0.98,521.5,15731237
"45",500,15731366,1394.9,1,524.8,531.9,59,17.32,504.1,15731424
"46",136,15731889,1317.3,1,1391.4,512.8,20,1.54,532.8,15731908
"47",1036,15732226,435.3,1,1278.8,547.5,270,18.85,1007,15732495
"48",918,15732921,824.4,1,496.8,979.5,196,10.77,546.6,15733116
"49",240,15734264,1046.4,1,815.9,540.1,39,4.73,571.7,15734302
"50",269,15734957,863.8,1,1036,568.2,27,3.51,554.2,15734983
"51",111,15735825,845.4,1,889.2,553.2,24,0.89,548.8,15735848
