"","events_3","durations_3"
"1",1515309,3850
"2",1530792,2167
"3",1562009,2334
"4",1577343,2334
"5",1607243,2834
"6",1621227,2617
"7",1642294,3767
"8",1666828,2667
"9",1705778,2501
"10",1774746,3567
"11",1789630,4117
"12",1844031,5717
"13",1896448,2550
"14",1925582,2717
"15",1941015,2084
"16",1964299,6917
"17",1987733,2383
"18",2073301,2217
"19",2108351,1984
"20",2155102,2467
"21",2178419,1650
"22",2194969,3734
"23",2226253,1917
"24",2243637,3133
"25",2264820,3367
"26",2287521,4850
"27",2338755,2050
"28",2366922,2034
"29",2377539,3850
"30",2424590,1950
"31",2490007,1934
"32",2556958,2434
"33",2564009,2767
"34",2618926,2817
"35",2636543,6234
"36",2645893,2184
"37",2684844,1767
"38",2691894,2783
"39",2735511,3151
"40",2786412,1884
"41",2805646,2383
"42",2836896,1750
"43",2844546,2317
"44",2851413,2734
"45",2883830,3634
"46",2922581,2600
"47",2936681,1700
"48",2974732,3217
"49",3027483,2967
